track_id,popularity,duration_ms,explicit,danceability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,liveness,valence,mode,key,time_signature
47AOrVM9akhsb59TD6ijjz,0,162897,False,0.647,0.876,-5.662,151.925,0.185,0.881,3.59e-05,0.26,0.949,1,10,4
1P5YSdlW0yDkMTxiLGDldP,0,162897,False,0.647,0.876,-5.662,151.925,0.185,0.881,3.59e-05,0.26,0.949,1,10,4
0XgmLT6nDInA6w2yxpVsZh,0,162897,False,0.647,0.876,-5.662,151.925,0.185,0.881,3.59e-05,0.26,0.949,1,10,4
7m4luTtlene5vS6xUvWxRt,0,162897,False,0.647,0.876,-5.662,151.925,0.185,0.881,3.59e-05,0.26,0.949,1,10,4
02NjAsgrCjbFioTyGI0FeT,0,162897,False,0.647,0.876,-5.662,151.925,0.185,0.881,3.59e-05,0.26,0.949,1,10,4
6ceypJqP0dr2LDpeZpSaXR,0,162897,False,0.647,0.876,-5.662,151.925,0.185,0.881,3.59e-05,0.26,0.949,1,10,4
0UfbRLBZi1780FbGc07dg0,0,162897,False,0.647,0.876,-5.662,151.925,0.185,0.881,3.59e-05,0.26,0.949,1,10,4
1UbzmkVajS4YyoJLuGP7q9,53,177266,False,0.692,0.487,-6.708,108.009,0.0356,0.685,0.0,0.0601,0.98,1,7,1
4vJrtcgQoULwkPyFkXNYCx,0,162897,False,0.647,0.876,-5.662,151.925,0.185,0.881,3.59e-05,0.26,0.949,1,10,4
3iyTXUFlm1YrquUUgXlPM1,0,162897,False,0.647,0.876,-5.662,151.925,0.185,0.881,3.59e-05,0.26,0.949,1,10,4
5tf3V8LihD79bK9Tg8d841,54,221666,False,0.486,0.627,-4.161,173.956,0.0397,0.496,9.59e-05,0.0872,0.871,1,5,4
4KlkkmZpxUkBFnmbAOQ9RQ,0,165226,False,0.588,0.682,-14.75,157.189,0.161,0.683,2.44e-05,0.274,0.889,1,7,4
43UwresvfvNPDl8BQruk4L,0,163066,False,0.572,0.848,-10.054,157.621,0.125,0.739,4.67e-06,0.245,0.927,1,7,4
27sytaeEm6TDVMpdExyVfd,0,239533,False,0.713,0.886,-7.75,97.983,0.0411,0.0012,7.68e-06,0.0496,0.9,1,7,4
3yTfCvdiC3N71rUTDMMMZx,0,199040,False,0.816,0.645,-5.435,94.965,0.0402,0.517,0.0,0.0724,0.74,1,5,4
52gGYiO7QQtQMpvF8OBHDV,0,213573,False,0.684,0.708,-11.404,134.685,0.0299,0.513,2.19e-06,0.088,0.84,1,9,4
4MmDaMzOyCDEMCGkl55hva,0,218066,False,0.565,0.61,-13.236,93.504,0.0372,0.568,0.0,0.245,0.921,1,0,4
4pEYt2rphby3dY8a4SLSzr,0,221986,False,0.633,0.575,-2.358,154.14,0.0357,0.431,0.0,0.316,0.902,0,7,3
